filename, language, TypeScript, CSS, JSON, HTML, SCSS, comment, blank, total
c:\Dev\mobilecontrol\src\FrontEnd\src\app\app.api.ts, TypeScript, 15, 0, 0, 0, 0, 3, 1, 19
c:\Dev\mobilecontrol\src\FrontEnd\src\app\app.component.html, HTML, 0, 0, 0, 1, 0, 0, 2, 3
c:\Dev\mobilecontrol\src\FrontEnd\src\app\app.component.ts, TypeScript, 22, 0, 0, 0, 0, 0, 5, 27
c:\Dev\mobilecontrol\src\FrontEnd\src\app\app.module.ts, TypeScript, 54, 0, 0, 0, 0, 2, 4, 60
c:\Dev\mobilecontrol\src\FrontEnd\src\app\app.routing.ts, TypeScript, 58, 0, 0, 0, 0, 0, 2, 60
c:\Dev\mobilecontrol\src\FrontEnd\src\app\company-groups\company-groups.component.html, HTML, 0, 0, 0, 23, 0, 1, 1, 25
c:\Dev\mobilecontrol\src\FrontEnd\src\app\company-groups\company-groups.component.ts, TypeScript, 11, 0, 0, 0, 0, 0, 5, 16
c:\Dev\mobilecontrol\src\FrontEnd\src\app\company-groups\costcenterarea\costcenterarea-cu\costcenterarea-cu.component.html, HTML, 0, 0, 0, 41, 0, 1, 10, 52
c:\Dev\mobilecontrol\src\FrontEnd\src\app\company-groups\costcenterarea\costcenterarea-cu\costcenterarea-cu.component.ts, TypeScript, 57, 0, 0, 0, 0, 0, 9, 66
c:\Dev\mobilecontrol\src\FrontEnd\src\app\company-groups\costcenterarea\costcenterarea-list\costcenterarea-list.component.html, HTML, 0, 0, 0, 76, 0, 0, 9, 85
c:\Dev\mobilecontrol\src\FrontEnd\src\app\company-groups\costcenterarea\costcenterarea-list\costcenterarea-list.component.ts, TypeScript, 74, 0, 0, 0, 0, 1, 11, 86
c:\Dev\mobilecontrol\src\FrontEnd\src\app\company-groups\costcenterarea\costcenterarea.component.html, HTML, 0, 0, 0, 1, 0, 0, 0, 1
c:\Dev\mobilecontrol\src\FrontEnd\src\app\company-groups\costcenterarea\costcenterarea.component.ts, TypeScript, 11, 0, 0, 0, 0, 0, 5, 16
c:\Dev\mobilecontrol\src\FrontEnd\src\app\company-groups\position\position-cu\position-cu.component.html, HTML, 0, 0, 0, 37, 0, 1, 11, 49
c:\Dev\mobilecontrol\src\FrontEnd\src\app\company-groups\position\position-cu\position-cu.component.ts, TypeScript, 57, 0, 0, 0, 0, 0, 9, 66
c:\Dev\mobilecontrol\src\FrontEnd\src\app\company-groups\position\position-list\position-list.component.html, HTML, 0, 0, 0, 72, 0, 0, 8, 80
c:\Dev\mobilecontrol\src\FrontEnd\src\app\company-groups\position\position-list\position-list.component.ts, TypeScript, 74, 0, 0, 0, 0, 1, 11, 86
c:\Dev\mobilecontrol\src\FrontEnd\src\app\company-groups\position\position.component.html, HTML, 0, 0, 0, 1, 0, 0, 0, 1
